Symbol;PriceChangePercentile
FMBZ;11.19714300
FMCE;8.51517300
FMCG;8.80000000
FMCH;9.82380700
FMCL;13.11396400
FMCN;8.99463700
FMCO;13.50684100
FMCP;8.42311800
FMCT;13.77853700
FMCZ;12.14599300
FMDK;9.72829000
FMDM;10.67818800
FME;96.43396200
FMEA;6.68333900
FMED;10.02215600
FMEE;7.62983600
FMEF;6.43853400
FMEG;7.56631700
FMEH;12.32035000
FMEL;9.65836300
FMEM;6.19959200
FMEN;5.62033300
FMEP;7.41443000
FMES;9.66337600
FMEU;7.39612100
FMEV;7.25388600
FMEY;8.14713500
FMFA;7.78883200
FMFE;8.80000000
FMFI;8.80000000
FMFJ;8.80000000
FMFO;8.95527900
FMFP;8.51363500
FMFR;8.47179500
FMFU;9.74850800
FMFW;8.89913400
FMGA;8.62730100
FMGC;8.90121000
FMGS;8.52747100
FMGY;10.63602300
FMHC;10.92308000
FMHK;5.89053300
FMHS;9.82379300
FMHU;13.93288000
FMID;7.14137500
FMIG;9.27619100
FMIN;7.37240300
FMIS;9.20727800
FMIT;9.52568800
FMIV;8.75391100
FMJP;6.75000000
FMJY;8.80000000
FMK2;6.75000000
FMKN;8.21137000
FMKW;8.80000000
FMMC;8.80000000
FMMD;11.89778100
FMMF;8.80000000
FMMG;7.09779500
FMMH;8.80000000
FMMI;8.80000000
FMML;8.80000000
FMMQ;8.80000000
FMMR;11.05508800
FMMS;8.80000000
FMMT;9.44934900
FMMU;8.54584600
FMMV;6.75000000
FMMW;9.89159900
FMMX;8.64597600
FMMY;6.75000000
FMNA;8.55084400
FMNB;506.37225800
FMNG;11.94764300
FMNL;11.63947600
FMNS;11.69237400
FMNW;12.50851500
FMNZ;7.04838400
FMOG;10.54233800
FMOV;7.75998700
FMPA;6.10993600
FMPE;10.76182100
FMPH;6.98443000
FMPL;12.98759100
FMPP;8.80000000
FMPX;7.69756400
FMQA;6.45213600
FMSA;8.80000000
FMSC;10.74252200
FMSD;11.72711200
FMSE;6.82136300
FMSF;8.80000000
FMSI;7.56179000
FMSJ;8.80000000
FMSM;8.80000000
FMSO;9.54651300
FMSP;8.80000000
FMSR;8.80000000
FMSS;8.80000000
FMST;8.80000000
FMSU;10.07272800
FMSW;9.33725300
FMSZ;8.80000000
FMTH;6.75000000
FMTW;6.86369200
FMUA;6.98316500
FMUC;8.80000000
FMUD;11.35475600
FMUE;9.56371100
FMUF;11.51016700
FMUH;8.80000000
FMUI;10.34789100
FMUK;5.92514100
FMUL;12.77740200
FMUM;8.03095600
FMUP;8.80000000
FMUQ;8.26049000
FMUR;11.72248800
FMUS;8.57513500
FMUT;10.13484500
FMUU;9.14327400
FMUV;8.48784300
FMUW;13.99779700
FMWB;8.80000000
FMWC;9.42976200
FMWD;13.34312300
FMWF;11.08109700
FMWH;8.80000000
FMWI;9.22681700
FMWL;11.70327400
FMWM;9.18940000
FMWN;6.74614400
FMWO;7.77794100
FMWP;8.28767400
FMWQ;9.23222200
FMWR;12.91326400
FMWS;8.80000000
FMWT;11.74714300
FMWW;10.23720400
FMXA;8.81830200
FMXB;8.45616400
FMXC;8.80000000
FMXG;8.80000000
FMXJ;6.75000000
FMXK;8.80000000
FMXS;7.88948400
FMXT;8.00741700
FMXU;7.41558500
FMZA;9.40938800
FNNF;17.83112000
FNT;1906.86858600
FNTF;10.87764700
FO4;5057.92967000
FO4I;16.31786200
FOAM;1.71955600
FOAT;2.60694400
FOOG;12.49133100
FORF;8.80000000
FOT;316.74339300
FOTH;25.51656000
FPE3;492.89793800
FPEG;9.60209600
FPHA;7.92000000
FPLF;11.76752900
FRA;354.17174600
FRAG;16.15055000
FRE;126.15781800
FREH;10.56775600
FREP;10.56775600
FSAD;8.80000000
FSBD;4.90849400
FSCE;8.66952500
FSCI;8.80000000
FSCP;8.86505000
FSDX;9.47427000
FSE;122.91189000
FSED;4.36951600
FSEG;8.80000000
FSEI;9.80133100
FSID;4.27054400
FSLC;9.37545400
FSLI;7.02024300
FSLS;8.80000000
FSMD;2.80810500
FSMI;6.75000000
FSMM;8.44551100
FSMS;6.75000000
FSMX;10.89904600
FSR3;4.50000000
FSSX;9.19492800
FSTA;9.99636100
FSTB;10.99096200
FSTC;8.48351100
FSTD;2.43853000
FSTE;9.57653900
FSTF;8.71120100
FSTG;9.02297500
FSTH;6.75000000
FSTI;9.85542000
FSTJ;10.84270700
FSTL;12.10866900
FSTM;7.03056100
